,,,,,,,,,,
,,,,,,,,,,
category ID,cat_code,category1_ru,category2_ru,category3_ru,category4_ru,category5_ru,category6_ru,comm FBO %,comm FBS %,comm DBS%
135,"Продукты питанияМука, сахар и сольСахар",Продукты питания,"Мука, сахар и соль",Сахар,,,,5%,5%,5%
136,"Продукты питанияМука, сахар и сольМука",Продукты питания,"Мука, сахар и соль",Мука,,,,15%,15%,15%
138,"Продукты питанияМасла, соусы и приправыСоусыУксус",Продукты питания,"Масла, соусы и приправы",Соусы,Уксус,,,15%,15%,15%
142,"Продукты питанияМакароны, крупы и сухие завтракиМакароны",Продукты питания,"Макароны, крупы и сухие завтраки",Макароны,,,,12%,12%,12%
143,"Продукты питанияЧай, кофе и какаоЧай с добавками",Продукты питания,"Чай, кофе и какао",Чай с добавками,,,,17%,17%,17%
167,ЗдоровьеТовары для реабилитацииПротивопролежневые матрасы,Здоровье,Товары для реабилитации,Противопролежневые матрасы,,,,22%,22%,22%
326,"Продукты питанияСнеки, орехи и семечкиОрехи",Продукты питания,"Снеки, орехи и семечки",Орехи,,,,15%,15%,15%
329,"Продукты питанияЗдоровое питаниеБальзамы, тоники, эликсиры",Продукты питания,Здоровое питание,"Бальзамы, тоники, эликсиры",,,,15%,15%,15%
330,Строительство и ремонтСантехникаВанны и комплектующиеКомплектующиеЗаглушка для ванны,Строительство и ремонт,Сантехника,Ванны и комплектующие,Комплектующие,Заглушка для ванны,,18%,18%,18%
356,Продукты питанияВыпечка и сладостиШоколад,Продукты питания,Выпечка и сладости,Шоколад,,,,20%,-,-
366,Продукты питанияЗдоровое питаниеХлебцы,Продукты питания,Здоровое питание,Хлебцы,,,,15%,15%,15%
369,Продукты питанияВыпечка и сладостиБатончики,Продукты питания,Выпечка и сладости,Батончики,,,,20%,-,-
531,Продукты питанияКонсервацияМясные консервы,Продукты питания,Консервация,Мясные консервы,,,,15%,15%,15%
555,"Продукты питанияЧай, кофе и какаоЦикорий",Продукты питания,"Чай, кофе и какао",Цикорий,,,,17%,17%,17%
1892,Продукты питанияВыпечка и сладостиЖевательные резинки,Продукты питания,Выпечка и сладости,Жевательные резинки,,,,20%,20%,20%
1915,"Продукты питанияВыпечка и сладостиШоколадная, ореховая паста",Продукты питания,Выпечка и сладости,"Шоколадная, ореховая паста",,,,20%,20%,20%
2477,Продукты питанияКонсервацияКонсервированные овощи,Продукты питания,Консервация,Консервированные овощи,,,,15%,15%,15%
2570,Красота и уходЛичная гигиенаБумажная и ватная продукцияВлажные салфетки,Красота и уход,Личная гигиена,Бумажная и ватная продукция,Влажные салфетки,,,20%,20%,20%
2571,Красота и уходЛичная гигиенаГигиена полости ртаЗубные нити,Красота и уход,Личная гигиена,Гигиена полости рта,Зубные нити,,,20%,20%,20%
2572,Красота и уходЛичная гигиенаГигиена полости ртаЭлектрические зубные щетки,Красота и уход,Личная гигиена,Гигиена полости рта,Электрические зубные щетки,,,20%,20%,20%
2573,Красота и уходЛичная гигиенаГигиена полости ртаНасадки для электрических зубных щеток и ирригаторов,Красота и уход,Личная гигиена,Гигиена полости рта,Насадки для электрических зубных щеток и ирригаторов,,,20%,20%,20%
2574,Красота и уходЛичная гигиенаГигиена полости ртаАксессуары для электрических зубных щеток и ирригаторов,Красота и уход,Личная гигиена,Гигиена полости рта,Аксессуары для электрических зубных щеток и ирригаторов,,,20%,20%,20%
2575,Детские товарыКоляски и автокреслаАксессуары для колясок и автокресел,Детские товары,Коляски и автокресла,Аксессуары для колясок и автокресел,,,,25%,25%,25%
2576,Детские товарыИгрушки и игрыИгрушки для купания,Детские товары,Игрушки и игры,Игрушки для купания,,,,30%,30%,30%
2577,Детские товарыТовары для кормленияПосуда и принадлежности для кормленияДетские тарелки и миски,Детские товары,Товары для кормления,Посуда и принадлежности для кормления,Детские тарелки и миски,,,20%,20%,20%
2578,Детские товарыГигиена и подгузникиГигиена полости ртаДетские зубные пасты,Детские товары,Гигиена и подгузники,Гигиена полости рта,Детские зубные пасты,,,20%,20%,20%
2580,Детские товарыИгрушки и игрыКонструкторыДеревянные,Детские товары,Игрушки и игры,Конструкторы,Деревянные,,,20%,20%,20%
2581,Детские товарыИгрушки и игрыКонструкторыМагнитные,Детские товары,Игрушки и игры,Конструкторы,Магнитные,,,20%,20%,20%
2582,Детские товарыИгрушки и игрыКонструкторыБлочные,Детские товары,Игрушки и игры,Конструкторы,Блочные,,,20%,20%,20%
2583,Детские товарыИгрушки и игрыКонструкторыМеталлические,Детские товары,Игрушки и игры,Конструкторы,Металлические,,,20%,20%,20%
2584,Детские товарыИгрушки и игрыДеревянные игрушки,Детские товары,Игрушки и игры,Деревянные игрушки,,,,20%,20%,20%
2585,Детские товарыИгрушки и игрыКукольные домики,Детские товары,Игрушки и игры,Кукольные домики,,,,20%,20%,20%
2586,Детские товарыИгрушки и игрыИгрушки - антистресс,Детские товары,Игрушки и игры,Игрушки - антистресс,,,,20%,20%,20%
2587,Детские товарыИгрушки и игрыФигурки и аксессуары,Детские товары,Игрушки и игры,Фигурки и аксессуары,,,,20%,20%,20%
2588,Детские товарыИгрушки и игрыРазвивающие и обучающие игрушкиСюжетно-ролевые игры,Детские товары,Игрушки и игры,Развивающие и обучающие игрушки,Сюжетно-ролевые игры,,,20%,20%,20%
2590,Спорт и отдыхВодный спорт и отдых на водеПлаваниеКруги и матрасыМатрасы для плавания,Спорт и отдых,Водный спорт и отдых на воде,Плавание,Круги и матрасы,Матрасы для плавания,,25%,25%,25%
2592,Детские товарыДетский спорт и активный отдыхИгры на улицеВоздушные змеи,Детские товары,Детский спорт и активный отдых,Игры на улице,Воздушные змеи,,,25%,25%,25%
2593,Детские товарыДетский спорт и активный отдыхИгры на улицеБумеранги,Детские товары,Детский спорт и активный отдых,Игры на улице,Бумеранги,,,25%,25%,25%
2594,Детские товарыДетский спорт и активный отдыхИгры на улицеФрисби,Детские товары,Детский спорт и активный отдых,Игры на улице,Фрисби,,,25%,25%,25%
2595,Детские товарыДетский спорт и активный отдыхИгры на улицеСпортивные игры,Детские товары,Детский спорт и активный отдых,Игры на улице,Спортивные игры,,,20%,20%,20%
2597,Детские товарыИгрушки и игрыРазвивающие и обучающие игрушкиОбучающие игрушки и игры,Детские товары,Игрушки и игры,Развивающие и обучающие игрушки,Обучающие игрушки и игры,,,20%,20%,20%
2599,ОдеждаЖенская одеждаКупальники и пляжная одеждаРаздельные купальники,Одежда,Женская одежда,Купальники и пляжная одежда,Раздельные купальники,,,25%,25%,25%
2600,ОдеждаЖенская одеждаКупальники и пляжная одеждаПляжные платья и туники,Одежда,Женская одежда,Купальники и пляжная одежда,Пляжные платья и туники,,,25%,25%,25%
2601,ОдеждаЖенская одеждаНижнее бельёМайки и бельевые топы,Одежда,Женская одежда,Нижнее бельё,Майки и бельевые топы,,,25%,25%,25%
2603,ОдеждаМужская одеждаДомашняя одеждаДомашние комбинезоны,Одежда,Мужская одежда,Домашняя одежда,Домашние комбинезоны,,,25%,25%,25%
2605,ОдеждаОдежда для мальчиковНоскиКолготки,Одежда,Одежда для мальчиков,Носки,Колготки,,,25%,25%,25%
2607,АксессуарыЖенские аксессуарыЧасы и ремешкиЧасы,Аксессуары,Женские аксессуары,Часы и ремешки,Часы,,,25%,25%,25%
2608,АксессуарыЖенские аксессуарыЧасы и ремешкиРемешки для часов,Аксессуары,Женские аксессуары,Часы и ремешки,Ремешки для часов,,,30%,30%,30%
2610,АксессуарыМужские аксессуарыЧасы и ремешкиЧасы,Аксессуары,Мужские аксессуары,Часы и ремешки,Часы,,,25%,25%,25%
2611,Строительство и ремонтРасходные материалы и оснасткаОснасткаПринадлежностиПринадлежности для инструментов,Строительство и ремонт,Расходные материалы и оснастка,Оснастка,Принадлежности,Принадлежности для инструментов,,22%,22%,22%
2614,КанцтоварыТовары для школы и обученияПеналы,Канцтовары,Товары для школы и обучения,Пеналы,,,,20%,20%,20%
